ref_provee;cant
006-0040;1
006-0042;2
006-0043;1
006-0046;1
006-0048;1
006-0050;1
006-0051;1
006-0052;1
006-0053;1
006-0065;1
006-0066;1
006-0067;1
006-1012;1
006-1013;1
50aa28BB;
017-500166;1
017-500266;1
017-504666;1
017-504766;1
017D002166;21
017D004366;1
018F6260;1
018F6264;1
018F6265;1
018F6710;1
018F6714;1
018F6715;1
018F6813;1
018F6814;1
018F6856;1
018F6857;1
018F6902;1
018Z0089;1
020-2000;1
020-2001;1
020-2002;1
020-2003;1
020-2004;1
020-2005;1
020-2006;1
020-2032;1
020-2033;1
020-2307;1
020-2317;1
020-2327;1
020-2337;1
027B0920;1
027B0921;1
027B0930;1
027B0931;1
027B0940;1
027B0980;1
027B1120;1
027B1130;1
027B2021;1
027B2023;1
027B2024;1
027B2025;1
027B2026;1
027B2062;1
027F1046;1
027F1047;1
027F1048;1
027F1049;1
027F1159;1
027F2123;1
027F2124;1
027F2125;1
027H0159;1
027H0164;1
027H0174;1
027H0179;1
027H0180;1
027H0181;1
027H0182;1
027H0227;1
027H0388;1
027H0426;1
027H0427;1
027H0431;1
027H0435;1
027H0438;1
027H0464;1
027H0465;1
027H0466;1
027H0467;1
027H0468;1
027H0485;1
027H0490;1
027H1025;1
027H1035;1
027H1036;1
027H1040;1
027H1041;1
027H1148;1
027H1151;1
027H1166;1
027H1180;1
027H1181;1
027H1182;1
027H1186;1
027H1194;1
027H2002;1
027H2003;1
027H2004;1
027H2005;1
027H2021;1
027H2029;1
027H2031;1
027H2039;1
027H2041;1
027H2049;1
027H2051;1
027H2059;1
027H2061;1
027H2062;1
027H2071;1
027H2079;1
027H2081;1
027H2089;1
027H2091;1
027H2099;1
027H2101;1
027H2109;1
027H2111;1
027H2112;1
027H2119;1
027H2121;1
027H2122;1
027H2130;1
027H2131;1
027H2132;1
027H2140;1
027H2141;1
027H2142;1
027H2143;1
027H2145;1
027H2146;1
027H2147;1
027H2148;1
027H2172;1
027H2173;1
027H2180;1
027H2181;1
027H2200;1
027H2201;1
027H2202;1
027H2203;1
027H2204;1
027H2334;1
027H3002;3
